,brand,category,cost,year,debt_ratio,profit,fairness,growth,stability
0,이디야커피,커피,12913.0,21,88,4,3,3,3
1,비비큐,치킨,9078.0,28,58,3,3,4,3
2,비비큐(BBQ),치킨,25654.0,28,1500,2,2,3,5
3,비에이치씨(BHC),치킨,8543.0,19,205,5,3,4,4
4,배스킨라빈스,아이스크림/빙수,32335.0,37,24,4,3,3,2
5,투다리,주점,4533.0,35,126,5,3,4,3
6,투썸플레이스,커피,29920.0,5,609,4,3,4,5
7,교촌치킨,치킨,11028.0,24,42,4,3,4,2
8,처갓집양념치킨,치킨,2685.0,21,40,4,3,4,2
9,메가엠지씨커피(MEGA,커피,5689.0,13,28,5,3,5,2
10,페리카나,치킨,3395.0,32,51,4,3,3,2
11,굽네치킨,치킨,8529.0,16,152,4,3,4,4
12,본죽,한식,7006.0,19,25,3,3,3,2
13,멕시카나,치킨,3185.0,23,65,4,3,4,3
14,호식이두마리치킨,치킨,2930.0,17,103,5,3,3,3
15,이삭토스트,분식,5228.0,19,66,4,3,4,3
16,한솥,한식,9801.0,34,32,4,3,3,2
17,컴포즈커피(COMPOSE,커피,8138.0,2,42,5,3,5,2
18,빽다방,커피,10280.0,29,78,4,3,4,3
19,던킨/던킨도너츠,제과제빵,25065.0,37,24,4,3,3,2
20,신전떡볶이,분식,7010.0,12,161,5,3,4,4
21,역전할머니맥주1982,주점,7386.0,7,33,5,3,5,2
22,명랑시대쌀핫도그,제과제빵,3971.0,7,91,3,3,3,3
23,또래오래,치킨,3322.0,17,86,3,3,4,3
24,피자마루,피자,6268.0,16,33,4,3,4,2
25,지코바양념치킨,치킨,5700.0,7,25,5,3,4,2
26,요거프레소,커피,6215.0,16,117,3,3,3,3
27,커피베이,커피,6594.0,14,159,3,3,2,4
28,피자스쿨,피자,6724.0,17,4,4,3,4,2
29,할리스/할리스커피,커피,24600.0,18,120,2,3,3,3
30,아딸,분식,6780.0,15,56,1,3,2,3
31,가마치통닭,기타 외식,4890.0,7,122,5,3,5,3
32,봉구스밥버거,기타 외식,4020.0,10,69,5,3,2,3
33,60계,치킨,9080.0,8,65,5,3,4,3
34,명륜진사갈비,한식,17094.0,11,52,4,3,2,2
35,노랑통닭,치킨,5330.0,9,48,4,3,4,2
36,자담치킨,치킨,4290.0,8,619,4,3,5,5
37,엔제리너스,커피,31768.0,44,276,2,3,2,4
38,불닭발땡초동대문엽기떡볶이,기타 외식,9040.0,14,111,2,3,3,3
39,더벤티,커피,6215.0,8,134,4,3,3,3
40,본죽&비빔밥,한식,9253.0,19,25,3,3,3,2
41,또봉이통닭,치킨,2806.0,8,17,4,3,3,2
42,59피자(오구피자),피자,5390.0,14,75,4,3,4,3
43,두찜,한식,4700.0,6,180,5,3,5,4
44,도미노피자,피자,24825.0,34,71,4,3,4,3
45,김가네김밥,기타 외식,7410.0,17,134,3,3,3,3
46,쥬씨(JUICY),음료 (커피 외),7138.0,8,120,2,3,2,3
47,간이역,주점,3328.0,22,32,2,3,2,2
48,맥도날드,패스트푸드,22475.0,37,92,2,3,3,3
49,써브웨이(Subway),패스트푸드,80677.0,26,1327,2,3,2,5
50,가장맛있는족발,한식,12960.0,9,10,4,3,3,2
51,버거킹(Burger,패스트푸드,54871.0,11,230,2,3,4,4
52,땅스부대찌개,한식,3060.0,5,204,5,3,5,4
53,피자나라,피자,5545.0,23,22,5,3,4,2
54,본도시락,한식,6428.0,19,396,3,3,3,5
55,죽이야기,기타 외식,7295.0,19,204,3,3,4,4
56,피자헛,피자,21268.0,32,88,4,3,5,3
57,크라운호프보리장인,주점,6470.0,10,139,4,3,3,3
58,바다양푼이,기타 외식,380.0,10,8,4,3,3,2
59,티바두마리치킨,치킨,3451.0,9,405,3,3,4,5
60,압구정봉구비어,주점,6810.0,10,54,3,3,2,3
61,맥시칸치킨,치킨,2930.0,34,11,4,3,3,2
62,나우커피,커피,4636.0,3,28,5,3,0,2
63,펀비어킹,주점,12746.0,15,34,4,3,3,2
64,썬더치킨,기타 외식,4620.0,15,25,2,3,2,2
65,부어치킨,치킨,3730.0,9,515,2,3,3,5
66,팔공티,음료 (커피 외),7295.0,5,251,4,3,4,4
67,원할머니,한식,11512.0,25,57,3,3,4,3
68,이차돌,기타 외식,14677.0,6,157,3,3,4,4
69,스무디킹(SMOOTHIEKING),음료 (커피 외),14465.0,8,221,1,3,2,4
70,봄봄테이크아웃(봄봄TAKE-OUT),커피,7650.0,4,179,5,3,4,4
71,카페베네,커피,17550.0,15,-233,2,3,3,1
72,놀부부대찌개,한식,10334.0,33,647,1,3,2,5
73,땅땅치킨,치킨,3890.0,16,251,2,3,2,4
74,홍루이젠,제과제빵,8035.0,6,127,2,3,1,3
75,더리터(THE,커피,7446.0,8,119,5,3,4,3
76,응급실국물떡볶이,분식,6497.0,7,36,5,3,4,2
77,청년피자,피자,5077.0,3,333,2,3,0,4
78,까투리,주점,2627.0,21,45,3,3,2,2
79,반올림피자샵,피자,3630.0,7,47,5,3,4,2
80,하삼동커피,커피,8220.0,3,66,5,3,0,3
81,신참떡볶이,분식,4455.0,8,54,5,3,4,3
82,치킨마루,치킨,,16,93,3,3,3,3
83,삼겹본능,한식,3355.0,33,647,1,3,2,5
84,훌랄라,치킨,10815.0,17,162,1,3,5,4
85,셀렉토커피,커피,7500.0,18,167,3,3,3,4
86,투모아,기타 외식,3980.0,14,26,4,3,2,2
87,미스터피자,피자,16651.0,28,69,2,3,2,3
88,홍콩반점0410,중식,11930.0,29,78,4,3,4,3
89,신통치킨,치킨,3970.0,10,183,4,3,2,4
90,피자에땅,피자,10878.0,22,15,4,3,3,2
91,삼첩분식,분식,2962.0,7,141,5,3,4,4
92,두끼,분식,17768.0,8,60,5,3,3,3
93,배떡,분식,5875.0,6,93,5,3,5,3
94,드롭탑(DROPTOP),커피,11316.0,13,-235,4,3,2,1
95,에그드랍(EGG,기타 외식,9745.0,6,29,3,3,2,2
96,와플대학,기타 외식,6690.0,10,177,5,3,5,4
97,후라이드참잘하는집,치킨,3560.0,3,13,4,3,5,2
98,미소야,일식,8714.0,35,702,4,3,3,5
99,토프레소,커피,6751.0,11,537,2,3,3,5
100,토프레소,커피,6751.0,11,537,2,3,3,5
101,얌샘김밥,분식,6305.0,17,333,2,3,4,4
102,바른치킨,치킨,4940.0,8,115,4,3,4,3
103,돈치킨,치킨,6380.0,14,256,3,3,0,4
104,누구나홀딱반한닭,치킨,7136.0,12,114,4,3,4,3
105,족발야시장,기타 외식,9980.0,11,255,4,3,5,4
106,감성커피,커피,4240.0,10,98,2,3,4,3
107,깐부치킨,치킨,10800.0,15,184,3,3,2,4
108,압구정봉구비어,기타 외식,6116.0,10,10,3,3,1,2
109,생활맥주,주점,6910.0,7,19,4,3,3,2
110,파파존스피자,피자,19311.0,21,331,4,3,4,4
111,용우동,분식,10180.0,24,147,2,3,3,4
112,조마루감자탕,한식,15447.0,18,32,4,3,3,2
113,치킨매니아,치킨,9549.0,16,83,3,3,3,3
114,치킨더홈,치킨,3216.0,16,113,4,3,4,3
115,압구정봉구비어,주점,6490.0,13,106,4,3,1,3
116,커피마마,커피,5640.0,13,416,2,3,3,5
117,마왕족발,한식,4658.0,7,441,4,3,5,5
118,투존치킨,치킨,5829.0,8,406,3,3,2,5
119,북촌손만두,기타 외식,8541.0,11,116,3,3,2,3
120,공수간,분식,7011.0,33,647,1,3,2,5
121,더카페,커피,6090.0,4,217,1,3,3,4
122,바우네나주곰탕,한식,7263.0,5,10,5,3,2,2
123,놀부보쌈족발,한식,11629.0,33,647,1,3,2,5
124,채선당,한식,37928.0,18,56,2,3,2,3
125,신의주찹쌀순대,한식,9657.0,15,267,3,3,3,4
126,호치킨,치킨,6070.0,9,20,2,3,3,2
127,동아리꼬치구이,주점,3012.0,18,0,4,3,1,1
128,아마스빈,커피,6660.0,9,481,2,3,2,5
129,탕화쿵푸마라탕,중식,9000.0,4,25,5,3,5,2
130,보드람치킨,치킨,7590.0,22,32,5,3,4,2
131,차얌,음료 (커피 외),7138.0,7,646,2,3,4,5
132,하남돼지집,한식,13375.0,11,141,2,3,2,4
133,싸움의고수,기타 외식,7900.0,8,134,3,3,4,3
134,노량진의,기타 외국식,5925.0,18,19,3,3,2,2
135,알통떡강정,치킨,3860.0,10,144,4,3,3,4
136,걸작떡볶이치킨,분식,5788.0,8,318,4,3,4,4
137,연안식당,한식,12737.0,8,1472,1,3,2,5
138,치요남치킨,치킨,3300.0,5,162,4,3,4,4
139,꼬지사께,주점,5589.0,16,134,3,3,2,3
140,혼밥대왕,한식,7735.0,5,195,5,3,5,4
141,매머드익스프레스(Mammoth,커피,8997.0,11,524,4,3,4,5
142,불스떡볶이,분식,3410.0,7,44,5,3,4,2
143,바르다김선생,분식,14804.0,9,90,2,3,3,3
144,샤브향,기타 외식,25360.0,6,448,3,3,1,5
145,시즌2쪼끼쪼끼,주점,11277.0,16,93,1,3,1,3
146,본스치킨,치킨,9070.0,8,59,3,3,3,3
147,현대옥,한식,11700.0,14,352,5,3,3,5
148,오븐마루,치킨,5170.0,8,198,4,3,4,4
149,백채,한식,4686.0,9,286,3,3,4,4
150,백채,한식,4686.0,9,286,3,3,4,4
151,맛닭꼬,치킨,6585.0,10,15,4,3,3,2
152,준코노래타운,주점,24750.0,17,-403,1,3,2,1
153,충만치킨,치킨,8717.0,9,14,2,3,1,2
154,도야족발보쌈,한식,8030.0,11,3,5,3,2,2
155,오븐에,치킨,13720.0,14,377,4,3,2,5
156,킹콩부대찌개,한식,10230.0,13,241,3,3,4,4
157,못난이꽈배기,제과제빵,4049.0,8,40,4,3,3,2
158,뉴욕핫도그앤커피,패스트푸드,6878.0,7,-110,1,3,2,1
159,주식회사포차천국,주점,8626.0,10,18,5,3,3,2
160,한신포차,한식,15626.0,29,78,4,3,4,3
161,디디치킨(DD치킨),치킨,3855.0,9,134,2,3,2,3
162,테트리스찜닭,치킨,1310.0,3,-1620,2,3,0,1
163,설동궁찜닭,한식,5700.0,5,143,5,3,5,4
164,이비가짬뽕,중식,11755.0,12,75,3,3,4,3
165,목우촌참피자,피자,4193.0,17,88,2,3,3,3
166,짝태&노가리,주점,3370.0,8,11,3,3,2,2
167,흥부찜닭,한식,8475.0,33,647,1,3,2,5
168,역전우동0410,분식,8819.0,29,78,4,3,4,3
