,브랜드명,중분류업종,창업비용(단위:천원),본사업력(년),본사부채비율(%),수익성,공정성,성장성,안정성
0,이디야커피,커피,129130,21,88,4,3,3,3
1,비비큐,치킨,90789,28,58,3,3,4,3
2,비비큐(BBQ),치킨,256548,28,1500,2,2,3,5
3,비에이치씨(BHC),치킨,85436,19,205,5,3,4,4
4,배스킨라빈스,아이스크림/빙수,323350,37,24,4,3,3,2
5,투다리,주점,45330,35,126,5,3,4,3
6,투썸플레이스,커피,299200,5,609,4,3,4,5
7,교촌치킨,치킨,110280,24,42,4,3,4,2
8,처갓집양념치킨,치킨,26850,21,40,4,3,4,2
9,메가엠지씨커피(MEGA,커피,56890,13,28,5,3,5,2
10,페리카나,치킨,33950,32,51,4,3,3,2
11,굽네치킨,치킨,85290,16,152,4,3,4,4
12,본죽,한식,70061,19,25,3,3,3,2
13,멕시카나,치킨,31850,23,65,4,3,4,3
14,호식이두마리치킨,치킨,29300,17,103,5,3,3,3
15,이삭토스트,분식,52280,19,66,4,3,4,3
16,한솥,한식,98010,34,32,4,3,3,2
17,컴포즈커피(COMPOSE,커피,81389,2,42,5,3,5,2
18,빽다방,커피,102801,29,78,4,3,4,3
19,던킨/던킨도너츠,제과제빵,250650,37,24,4,3,3,2
20,신전떡볶이,분식,70100,12,161,5,3,4,4
21,역전할머니맥주1982,주점,73860,7,33,5,3,5,2
22,명랑시대쌀핫도그,제과제빵,39710,7,91,3,3,3,3
23,또래오래,치킨,33226,17,86,3,3,4,3
24,피자마루,피자,62680,16,33,4,3,4,2
25,지코바양념치킨,치킨,57000,7,25,5,3,4,2
26,요거프레소,커피,62150,16,117,3,3,3,3
27,커피베이,커피,65940,14,159,3,3,2,4
28,피자스쿨,피자,67240,17,4,4,3,4,2
29,할리스/할리스커피,커피,246000,18,120,2,3,3,3
30,아딸,분식,67800,15,56,1,3,2,3
31,가마치통닭,기타 외식,48900,7,122,5,3,5,3
32,봉구스밥버거,기타 외식,40200,10,69,5,3,2,3
33,60계,치킨,90800,8,65,5,3,4,3
34,명륜진사갈비,한식,170940,11,52,4,3,2,2
35,노랑통닭,치킨,53300,9,48,4,3,4,2
36,자담치킨,치킨,42900,8,619,4,3,5,5
37,엔제리너스,커피,317686,44,276,2,3,2,4
38,불닭발땡초동대문엽기떡볶이,기타 외식,90400,14,111,2,3,3,3
39,더벤티,커피,62150,8,134,4,3,3,3
40,본죽&비빔밥,한식,92536,19,25,3,3,3,2
